IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.24.90.179,4,4,0.00,185.04,0.00,N/A
104.24.187.87,4,4,0.00,185.04,0.00,N/A
104.24.12.153,4,4,0.00,185.52,0.00,N/A
104.25.26.215,4,4,0.00,185.66,0.00,N/A
172.66.155.164,4,4,0.00,185.93,0.00,N/A
104.24.196.203,4,4,0.00,185.95,0.00,N/A
104.29.127.176,4,4,0.00,185.98,0.00,N/A
104.25.149.113,4,4,0.00,186.02,0.00,N/A
104.25.190.29,4,4,0.00,186.04,0.00,N/A
104.27.28.199,4,4,0.00,186.07,0.00,N/A
104.21.121.130,4,4,0.00,186.23,0.00,N/A
104.24.59.73,4,4,0.00,186.26,0.00,N/A
172.67.199.89,4,4,0.00,186.29,0.00,N/A
104.24.39.61,4,4,0.00,186.32,0.00,N/A
172.65.142.80,4,4,0.00,186.34,0.00,N/A
104.25.29.171,4,4,0.00,186.46,0.00,N/A
104.25.133.24,4,4,0.00,186.50,0.00,N/A
162.159.141.36,4,4,0.00,186.53,0.00,N/A
104.25.255.177,4,4,0.00,186.66,0.00,N/A
104.29.126.141,4,4,0.00,186.89,0.00,N/A
172.65.186.235,4,4,0.00,187.02,0.00,N/A
104.21.113.25,4,4,0.00,187.08,0.00,N/A
172.64.184.89,4,4,0.00,187.39,0.00,N/A
104.24.52.249,4,4,0.00,187.41,0.00,N/A
104.27.16.107,4,4,0.00,187.48,0.00,N/A
162.159.143.218,4,4,0.00,187.56,0.00,N/A
172.67.118.41,4,4,0.00,187.57,0.00,N/A
104.21.120.136,4,4,0.00,187.74,0.00,N/A
104.20.20.186,4,4,0.00,187.76,0.00,N/A
104.24.1.11,4,4,0.00,188.03,0.00,N/A
104.21.5.194,4,4,0.00,188.19,0.00,N/A
104.24.173.95,4,4,0.00,188.27,0.00,N/A
172.67.131.184,4,4,0.00,188.37,0.00,N/A
172.65.3.142,4,4,0.00,188.37,0.00,N/A
104.24.205.56,4,4,0.00,189.03,0.00,N/A
162.159.142.88,4,4,0.00,189.25,0.00,N/A
172.65.54.80,4,4,0.00,189.66,0.00,N/A
104.25.33.4,4,4,0.00,189.71,0.00,N/A
104.24.3.123,4,4,0.00,189.76,0.00,N/A
172.64.233.248,4,4,0.00,189.82,0.00,N/A
172.65.137.242,4,4,0.00,189.93,0.00,N/A
104.24.77.14,4,4,0.00,189.98,0.00,N/A
162.159.131.134,4,4,0.00,189.99,0.00,N/A
104.29.152.95,4,4,0.00,190.06,0.00,N/A
172.66.200.55,4,4,0.00,190.39,0.00,N/A
172.65.154.191,4,4,0.00,190.49,0.00,N/A
104.25.25.206,4,4,0.00,190.53,0.00,N/A
104.27.192.96,4,4,0.00,190.62,0.00,N/A
172.67.176.142,4,4,0.00,190.66,0.00,N/A
172.65.184.21,4,4,0.00,190.82,0.00,N/A
104.20.17.196,4,4,0.00,190.85,0.00,N/A
104.27.57.26,4,4,0.00,190.89,0.00,N/A
104.24.10.202,4,4,0.00,190.89,0.00,N/A
104.27.56.9,4,4,0.00,190.96,0.00,N/A
172.67.103.46,4,4,0.00,191.08,0.00,N/A
104.25.224.143,4,4,0.00,191.16,0.00,N/A
172.67.190.33,4,4,0.00,191.23,0.00,N/A
104.27.13.243,4,4,0.00,191.42,0.00,N/A
104.25.235.151,4,4,0.00,191.43,0.00,N/A
104.25.170.124,4,4,0.00,191.47,0.00,N/A
162.159.233.171,4,4,0.00,191.52,0.00,N/A
104.21.209.130,4,4,0.00,191.69,0.00,N/A
104.24.29.97,4,4,0.00,191.70,0.00,N/A
172.64.74.49,4,4,0.00,191.77,0.00,N/A
172.65.50.72,4,4,0.00,191.84,0.00,N/A
104.25.229.134,4,4,0.00,191.94,0.00,N/A
104.25.160.23,4,4,0.00,192.06,0.00,N/A
104.24.190.220,4,4,0.00,192.29,0.00,N/A
188.114.97.238,4,4,0.00,192.34,0.00,N/A
104.24.93.129,4,4,0.00,192.36,0.00,N/A
172.67.75.126,4,4,0.00,192.47,0.00,N/A
172.65.151.207,4,4,0.00,192.50,0.00,N/A
104.21.9.226,4,4,0.00,192.55,0.00,N/A
172.67.191.93,4,4,0.00,192.56,0.00,N/A
172.67.178.252,4,4,0.00,192.62,0.00,N/A
172.65.9.24,4,4,0.00,192.63,0.00,N/A
162.159.137.31,4,4,0.00,192.64,0.00,N/A
104.21.207.148,4,4,0.00,192.73,0.00,N/A
172.66.171.48,4,4,0.00,192.86,0.00,N/A
104.21.43.59,4,4,0.00,193.00,0.00,N/A
172.66.212.209,4,4,0.00,193.23,0.00,N/A
104.25.176.138,4,4,0.00,193.29,0.00,N/A
104.21.25.95,4,4,0.00,193.40,0.00,N/A
104.21.14.7,4,4,0.00,193.40,0.00,N/A
104.21.26.201,4,4,0.00,193.42,0.00,N/A
172.67.134.35,4,4,0.00,193.65,0.00,N/A
162.159.205.53,4,4,0.00,193.99,0.00,N/A
104.27.60.249,4,4,0.00,194.25,0.00,N/A
104.25.108.35,4,4,0.00,194.25,0.00,N/A
104.25.150.30,4,4,0.00,194.51,0.00,N/A
172.65.29.18,4,4,0.00,194.52,0.00,N/A
172.67.244.73,4,4,0.00,195.01,0.00,N/A
104.21.97.31,4,4,0.00,195.12,0.00,N/A
172.67.65.74,4,4,0.00,195.15,0.00,N/A
162.159.132.149,4,4,0.00,195.21,0.00,N/A
104.24.242.116,4,4,0.00,195.28,0.00,N/A
162.159.148.76,4,4,0.00,195.45,0.00,N/A
162.159.92.50,4,4,0.00,195.60,0.00,N/A
172.67.198.163,4,4,0.00,195.64,0.00,N/A
172.65.163.233,4,4,0.00,195.67,0.00,N/A
172.67.132.20,4,4,0.00,195.68,0.00,N/A
172.65.114.150,4,4,0.00,195.68,0.00,N/A
104.27.72.29,4,4,0.00,195.97,0.00,N/A
172.65.46.44,4,4,0.00,196.02,0.00,N/A
104.25.213.21,4,4,0.00,196.20,0.00,N/A
104.21.73.161,4,4,0.00,196.25,0.00,N/A
172.65.132.129,4,4,0.00,196.46,0.00,N/A
162.159.194.106,4,4,0.00,196.47,0.00,N/A
104.25.130.172,4,4,0.00,196.59,0.00,N/A
104.21.208.248,4,4,0.00,196.65,0.00,N/A
104.21.192.97,4,4,0.00,196.92,0.00,N/A
172.67.64.178,4,4,0.00,197.12,0.00,N/A
104.24.40.41,4,4,0.00,197.24,0.00,N/A
104.24.247.28,4,4,0.00,197.27,0.00,N/A
172.65.18.63,4,4,0.00,197.32,0.00,N/A
172.67.247.181,4,4,0.00,197.41,0.00,N/A
104.24.17.37,4,4,0.00,197.42,0.00,N/A
104.27.110.250,4,4,0.00,197.47,0.00,N/A
104.25.97.135,4,4,0.00,197.49,0.00,N/A
172.67.147.208,4,4,0.00,197.59,0.00,N/A
172.67.243.209,4,4,0.00,197.70,0.00,N/A
172.65.52.100,4,4,0.00,197.77,0.00,N/A
104.25.111.171,4,4,0.00,197.87,0.00,N/A
172.67.133.39,4,4,0.00,197.90,0.00,N/A
162.159.155.0,4,4,0.00,198.14,0.00,N/A
172.65.130.178,4,4,0.00,198.21,0.00,N/A
172.67.166.96,4,4,0.00,198.32,0.00,N/A
172.67.219.55,4,4,0.00,198.52,0.00,N/A
104.21.114.36,4,4,0.00,198.68,0.00,N/A
104.25.121.28,4,4,0.00,198.76,0.00,N/A
162.159.139.71,4,4,0.00,198.78,0.00,N/A
104.27.17.104,4,4,0.00,198.86,0.00,N/A
104.25.153.74,4,4,0.00,198.87,0.00,N/A
104.25.122.16,4,4,0.00,199.00,0.00,N/A
172.67.90.111,4,4,0.00,199.07,0.00,N/A
104.27.202.136,4,4,0.00,199.14,0.00,N/A
104.25.11.155,4,4,0.00,199.31,0.00,N/A
104.21.62.241,4,4,0.00,199.33,0.00,N/A
104.24.92.173,4,4,0.00,199.42,0.00,N/A
172.64.186.120,4,4,0.00,199.43,0.00,N/A
104.21.28.97,4,4,0.00,199.53,0.00,N/A
172.67.203.252,4,4,0.00,199.57,0.00,N/A
172.67.188.199,4,4,0.00,199.74,0.00,N/A
172.67.242.112,4,4,0.00,199.79,0.00,N/A
172.67.140.186,4,4,0.00,199.90,0.00,N/A
104.25.222.6,4,4,0.00,200.25,0.00,N/A
104.20.0.94,4,4,0.00,200.32,0.00,N/A
104.27.117.134,4,4,0.00,200.73,0.00,N/A
104.21.18.129,4,4,0.00,200.83,0.00,N/A
104.21.1.184,4,4,0.00,200.83,0.00,N/A
104.27.92.237,4,4,0.00,200.90,0.00,N/A
172.65.5.191,4,4,0.00,200.95,0.00,N/A
104.21.220.47,4,4,0.00,200.99,0.00,N/A
104.24.129.40,4,4,0.00,201.26,0.00,N/A
104.24.156.214,4,4,0.00,201.29,0.00,N/A
172.65.83.238,4,4,0.00,201.42,0.00,N/A
104.21.24.66,4,4,0.00,201.49,0.00,N/A
104.24.58.202,4,4,0.00,201.50,0.00,N/A
104.24.218.189,4,4,0.00,201.55,0.00,N/A
104.24.8.164,4,4,0.00,201.55,0.00,N/A
104.21.80.169,4,4,0.00,201.57,0.00,N/A
172.67.236.189,4,4,0.00,201.59,0.00,N/A
172.65.6.198,4,4,0.00,201.75,0.00,N/A
104.27.196.64,4,4,0.00,201.77,0.00,N/A
104.24.245.200,4,4,0.00,201.92,0.00,N/A
172.67.145.55,4,4,0.00,201.92,0.00,N/A
172.67.177.222,4,4,0.00,201.96,0.00,N/A
104.25.154.106,4,4,0.00,202.13,0.00,N/A
104.24.84.203,4,4,0.00,202.21,0.00,N/A
104.25.90.243,4,4,0.00,202.51,0.00,N/A
104.24.174.216,4,4,0.00,202.60,0.00,N/A
104.25.106.173,4,4,0.00,202.75,0.00,N/A
104.24.21.46,4,4,0.00,202.81,0.00,N/A
104.24.169.184,4,4,0.00,203.07,0.00,N/A
172.67.102.24,4,4,0.00,203.13,0.00,N/A
104.21.8.139,4,4,0.00,203.21,0.00,N/A
172.66.163.21,4,4,0.00,203.31,0.00,N/A
104.24.0.140,4,4,0.00,203.32,0.00,N/A
172.65.0.240,4,4,0.00,203.64,0.00,N/A
104.21.74.159,4,4,0.00,204.41,0.00,N/A
172.65.166.3,4,4,0.00,204.43,0.00,N/A
172.66.144.109,4,4,0.00,204.43,0.00,N/A
104.24.62.122,4,4,0.00,204.47,0.00,N/A
104.27.83.34,4,4,0.00,204.52,0.00,N/A
104.27.87.91,4,4,0.00,204.82,0.00,N/A
104.27.51.196,4,4,0.00,205.01,0.00,N/A
104.21.61.190,4,4,0.00,205.06,0.00,N/A
104.24.181.14,4,4,0.00,205.32,0.00,N/A
104.24.183.14,4,4,0.00,205.34,0.00,N/A
104.21.47.138,4,4,0.00,205.48,0.00,N/A
172.67.123.204,4,4,0.00,205.59,0.00,N/A
104.25.225.143,4,4,0.00,205.63,0.00,N/A
104.27.104.24,4,4,0.00,205.65,0.00,N/A
104.25.44.122,4,4,0.00,205.84,0.00,N/A
104.27.76.251,4,4,0.00,206.18,0.00,N/A
104.24.201.90,4,4,0.00,206.25,0.00,N/A
162.159.136.100,4,4,0.00,206.32,0.00,N/A
104.25.207.112,4,4,0.00,206.44,0.00,N/A
172.67.127.239,4,4,0.00,206.49,0.00,N/A
104.24.5.245,4,4,0.00,206.58,0.00,N/A
104.27.67.48,4,4,0.00,206.61,0.00,N/A
172.66.140.41,4,4,0.00,206.79,0.00,N/A
172.66.137.247,4,4,0.00,206.82,0.00,N/A
172.65.136.170,4,4,0.00,207.37,0.00,N/A
104.27.22.25,4,4,0.00,207.38,0.00,N/A
172.66.146.219,4,4,0.00,207.43,0.00,N/A
104.25.155.203,4,4,0.00,207.44,0.00,N/A
104.25.175.110,4,4,0.00,207.47,0.00,N/A
104.29.111.248,4,4,0.00,207.59,0.00,N/A
104.24.83.47,4,4,0.00,207.62,0.00,N/A
188.114.98.242,4,4,0.00,207.64,0.00,N/A
162.159.134.205,4,4,0.00,207.66,0.00,N/A
104.24.241.67,4,4,0.00,207.79,0.00,N/A
104.25.48.39,4,4,0.00,207.90,0.00,N/A
172.67.161.143,4,4,0.00,207.92,0.00,N/A
172.66.153.244,4,4,0.00,208.26,0.00,N/A
104.25.109.5,4,4,0.00,208.30,0.00,N/A
104.21.20.19,4,4,0.00,208.36,0.00,N/A
104.25.189.186,4,4,0.00,208.39,0.00,N/A
141.101.113.95,4,4,0.00,208.64,0.00,N/A
172.66.203.7,4,4,0.00,208.72,0.00,N/A
172.66.170.173,4,4,0.00,208.96,0.00,N/A
104.21.92.205,4,4,0.00,208.97,0.00,N/A
172.67.252.9,4,4,0.00,209.03,0.00,N/A
172.65.165.197,4,4,0.00,209.19,0.00,N/A
172.67.229.90,4,4,0.00,209.26,0.00,N/A
188.114.99.121,4,4,0.00,209.38,0.00,N/A
172.66.135.34,4,4,0.00,209.50,0.00,N/A
104.25.4.48,4,4,0.00,209.62,0.00,N/A
104.24.78.143,4,4,0.00,209.72,0.00,N/A
104.24.171.222,4,4,0.00,209.73,0.00,N/A
172.65.79.48,4,4,0.00,209.86,0.00,N/A
104.24.44.35,4,4,0.00,210.02,0.00,N/A
172.65.152.71,4,4,0.00,210.27,0.00,N/A
172.65.77.249,4,4,0.00,210.32,0.00,N/A
172.66.168.83,4,4,0.00,210.34,0.00,N/A
104.27.59.61,4,4,0.00,210.49,0.00,N/A
104.24.80.67,4,4,0.00,210.62,0.00,N/A
104.21.118.212,4,4,0.00,210.74,0.00,N/A
172.65.66.33,4,4,0.00,210.75,0.00,N/A
104.25.47.105,4,4,0.00,210.85,0.00,N/A
104.27.0.57,4,4,0.00,210.86,0.00,N/A
172.66.161.142,4,4,0.00,210.94,0.00,N/A
104.25.196.144,4,4,0.00,211.05,0.00,N/A
104.20.9.134,4,4,0.00,211.06,0.00,N/A
172.65.81.137,4,4,0.00,211.15,0.00,N/A
104.25.219.156,4,4,0.00,211.22,0.00,N/A
104.24.250.45,4,4,0.00,211.22,0.00,N/A
172.66.199.238,4,4,0.00,211.39,0.00,N/A
104.27.64.155,4,4,0.00,211.56,0.00,N/A
104.27.127.109,4,4,0.00,211.74,0.00,N/A
104.24.192.4,4,4,0.00,211.84,0.00,N/A
104.25.82.150,4,4,0.00,211.90,0.00,N/A
104.25.81.100,4,4,0.00,211.98,0.00,N/A
104.25.243.136,4,4,0.00,212.01,0.00,N/A
104.24.60.22,4,4,0.00,212.03,0.00,N/A
104.21.122.131,4,4,0.00,212.11,0.00,N/A
104.24.188.224,4,4,0.00,212.11,0.00,N/A
172.67.157.66,4,4,0.00,212.22,0.00,N/A
104.27.109.85,4,4,0.00,212.25,0.00,N/A
104.24.212.225,4,4,0.00,212.35,0.00,N/A
104.24.55.218,4,4,0.00,212.40,0.00,N/A
104.24.18.224,4,4,0.00,212.43,0.00,N/A
104.25.194.85,4,4,0.00,212.62,0.00,N/A
104.25.37.206,4,4,0.00,212.73,0.00,N/A
172.66.166.158,4,4,0.00,212.97,0.00,N/A
104.27.50.28,4,4,0.00,213.02,0.00,N/A
172.67.241.231,4,4,0.00,213.08,0.00,N/A
162.159.153.54,4,4,0.00,213.11,0.00,N/A
172.67.209.214,4,4,0.00,213.14,0.00,N/A
104.24.4.186,4,4,0.00,213.17,0.00,N/A
104.25.156.126,4,4,0.00,213.30,0.00,N/A
104.24.25.27,4,4,0.00,213.50,0.00,N/A
104.21.29.229,4,4,0.00,213.87,0.00,N/A
104.21.211.28,4,4,0.00,213.94,0.00,N/A
104.24.222.156,4,4,0.00,214.07,0.00,N/A
104.24.170.38,4,4,0.00,214.09,0.00,N/A
162.159.135.191,4,4,0.00,214.30,0.00,N/A
172.65.113.106,4,4,0.00,214.81,0.00,N/A
104.24.54.111,4,4,0.00,214.82,0.00,N/A
172.65.69.158,4,4,0.00,214.85,0.00,N/A
104.27.19.75,4,4,0.00,215.01,0.00,N/A
104.24.219.22,4,4,0.00,215.04,0.00,N/A
104.27.86.235,4,4,0.00,215.13,0.00,N/A
104.27.5.65,4,4,0.00,215.16,0.00,N/A
104.25.163.234,4,4,0.00,215.24,0.00,N/A
172.67.246.46,4,4,0.00,215.40,0.00,N/A
104.21.19.217,4,4,0.00,215.53,0.00,N/A
104.24.7.99,4,4,0.00,215.57,0.00,N/A
162.159.147.119,4,4,0.00,215.81,0.00,N/A
172.65.187.45,4,4,0.00,215.91,0.00,N/A
104.25.147.211,4,4,0.00,215.92,0.00,N/A
162.159.156.98,4,4,0.00,215.92,0.00,N/A
162.159.130.158,4,4,0.00,215.93,0.00,N/A
104.24.50.234,4,4,0.00,216.05,0.00,N/A
172.64.185.44,4,4,0.00,216.08,0.00,N/A
104.24.2.51,4,4,0.00,216.44,0.00,N/A
172.66.175.224,4,4,0.00,216.52,0.00,N/A
104.21.27.32,4,4,0.00,216.52,0.00,N/A
104.25.161.72,4,4,0.00,216.74,0.00,N/A
104.21.123.90,4,4,0.00,216.89,0.00,N/A
172.67.95.168,4,4,0.00,216.96,0.00,N/A
104.24.9.161,4,4,0.00,216.99,0.00,N/A
104.25.70.148,4,4,0.00,217.05,0.00,N/A
104.24.191.112,4,4,0.00,217.24,0.00,N/A
162.159.128.122,4,4,0.00,217.38,0.00,N/A
104.21.38.175,4,4,0.00,217.39,0.00,N/A
104.27.74.132,4,4,0.00,217.46,0.00,N/A
172.67.125.51,4,4,0.00,217.48,0.00,N/A
104.27.21.4,4,4,0.00,217.53,0.00,N/A
162.159.129.234,4,4,0.00,217.62,0.00,N/A
172.65.89.143,4,4,0.00,217.66,0.00,N/A
104.25.158.21,4,4,0.00,217.84,0.00,N/A
104.24.85.129,4,4,0.00,218.23,0.00,N/A
104.24.244.220,4,4,0.00,218.38,0.00,N/A
104.25.183.98,4,4,0.00,218.66,0.00,N/A
172.65.140.155,4,4,0.00,218.75,0.00,N/A
172.65.100.88,4,4,0.00,218.75,0.00,N/A
162.159.154.0,4,4,0.00,219.06,0.00,N/A
104.27.200.190,4,4,0.00,219.10,0.00,N/A
172.65.106.143,4,4,0.00,219.31,0.00,N/A
104.24.202.42,4,4,0.00,219.62,0.00,N/A
172.66.173.169,4,4,0.00,219.71,0.00,N/A
104.27.204.47,4,4,0.00,219.86,0.00,N/A
172.67.76.240,4,4,0.00,219.96,0.00,N/A
104.21.196.223,4,4,0.00,220.09,0.00,N/A
104.24.13.247,4,4,0.00,220.35,0.00,N/A
172.64.69.175,4,4,0.00,220.44,0.00,N/A
104.21.204.132,4,4,0.00,220.68,0.00,N/A
104.21.52.39,4,4,0.00,221.53,0.00,N/A
162.159.133.85,4,4,0.00,222.57,0.00,N/A
162.159.146.219,4,4,0.00,222.74,0.00,N/A
172.66.133.125,4,4,0.00,223.54,0.00,N/A
104.20.16.56,4,4,0.00,223.66,0.00,N/A
104.24.36.235,4,4,0.00,224.19,0.00,N/A
172.64.76.100,4,4,0.00,225.41,0.00,N/A
172.65.102.182,4,4,0.00,225.84,0.00,N/A
172.65.97.220,4,4,0.00,226.01,0.00,N/A
104.21.59.176,4,4,0.00,226.61,0.00,N/A
172.65.88.55,4,4,0.00,226.67,0.00,N/A
104.27.193.73,4,4,0.00,226.95,0.00,N/A
172.67.174.40,4,4,0.00,226.98,0.00,N/A
104.25.110.110,4,4,0.00,227.52,0.00,N/A
188.114.96.43,4,4,0.00,229.25,0.00,N/A
172.66.132.187,4,4,0.00,232.16,0.00,N/A
104.29.156.109,4,4,0.00,232.94,0.00,N/A
172.66.142.32,4,4,0.00,234.47,0.00,N/A
104.29.157.205,4,4,0.00,244.70,0.00,N/A
104.29.141.76,4,4,0.00,265.02,0.00,N/A
104.29.159.26,4,4,0.00,266.80,0.00,N/A
104.29.154.200,4,4,0.00,280.67,0.00,N/A
104.29.146.143,4,4,0.00,289.16,0.00,N/A
162.159.39.246,4,3,0.25,54.00,0.00,N/A
172.64.53.194,4,3,0.25,62.59,0.00,N/A
162.159.44.18,4,3,0.25,71.14,0.00,N/A
172.64.33.22,4,3,0.25,79.24,0.00,N/A
162.159.45.219,4,3,0.25,79.31,0.00,N/A
172.64.42.190,4,3,0.25,80.71,0.00,N/A
172.64.156.99,4,3,0.25,80.86,0.00,N/A
172.64.153.112,4,3,0.25,81.18,0.00,N/A
104.18.36.236,4,3,0.25,81.44,0.00,N/A
172.64.34.2,4,3,0.25,82.25,0.00,N/A
104.18.44.20,4,3,0.25,82.44,0.00,N/A
162.159.42.140,4,3,0.25,82.47,0.00,N/A
104.18.43.91,4,3,0.25,82.78,0.00,N/A
104.18.42.162,4,3,0.25,83.37,0.00,N/A
172.64.151.93,4,3,0.25,83.49,0.00,N/A
162.159.49.90,4,3,0.25,83.86,0.00,N/A
172.64.155.2,4,3,0.25,83.93,0.00,N/A
162.159.12.180,4,3,0.25,84.35,0.00,N/A
104.18.41.240,4,3,0.25,84.53,0.00,N/A
162.159.41.228,4,3,0.25,84.59,0.00,N/A
162.159.21.118,4,3,0.25,84.84,0.00,N/A
162.159.43.12,4,3,0.25,85.22,0.00,N/A
104.18.47.0,4,3,0.25,85.23,0.00,N/A
172.64.147.154,4,3,0.25,86.28,0.00,N/A
172.64.46.174,4,3,0.25,86.73,0.00,N/A
162.159.46.157,4,3,0.25,87.41,0.00,N/A
172.64.148.182,4,3,0.25,87.61,0.00,N/A
172.64.150.134,4,3,0.25,89.77,0.00,N/A
104.18.0.7,4,3,0.25,150.98,0.00,N/A
104.16.254.151,4,3,0.25,154.09,0.00,N/A
104.19.230.88,4,3,0.25,154.51,0.00,N/A
104.17.167.90,4,3,0.25,154.98,0.00,N/A
104.18.75.179,4,3,0.25,155.16,0.00,N/A
104.17.246.84,4,3,0.25,155.65,0.00,N/A
104.19.150.208,4,3,0.25,155.77,0.00,N/A
104.21.224.148,4,3,0.25,155.79,0.00,N/A
104.19.182.98,4,3,0.25,156.11,0.00,N/A
104.18.60.191,4,3,0.25,156.36,0.00,N/A
104.17.17.90,4,3,0.25,156.61,0.00,N/A
104.19.66.110,4,3,0.25,156.62,0.00,N/A
104.19.134.67,4,3,0.25,157.22,0.00,N/A
104.19.71.223,4,3,0.25,157.27,0.00,N/A
104.16.71.148,4,3,0.25,157.41,0.00,N/A
104.19.235.221,4,3,0.25,157.62,0.00,N/A
104.17.1.174,4,3,0.25,157.81,0.00,N/A
104.16.64.96,4,3,0.25,157.89,0.00,N/A
104.17.29.94,4,3,0.25,158.01,0.00,N/A
104.18.224.82,4,3,0.25,158.04,0.00,N/A
104.16.31.237,4,3,0.25,158.19,0.00,N/A
104.19.116.224,4,3,0.25,158.22,0.00,N/A
172.65.253.120,4,3,0.25,158.28,0.00,N/A
104.16.167.91,4,3,0.25,158.30,0.00,N/A
172.66.40.224,4,3,0.25,158.57,0.00,N/A
104.19.146.14,4,3,0.25,158.59,0.00,N/A
104.19.141.209,4,3,0.25,158.76,0.00,N/A
104.21.235.211,4,3,0.25,158.80,0.00,N/A
104.19.215.111,4,3,0.25,158.85,0.00,N/A
104.19.229.250,4,3,0.25,158.94,0.00,N/A
104.19.55.201,4,3,0.25,158.98,0.00,N/A
162.159.82.180,4,3,0.25,159.08,0.00,N/A
172.65.210.208,4,3,0.25,159.15,0.00,N/A
104.16.217.197,4,3,0.25,159.28,0.00,N/A
104.17.172.128,4,3,0.25,159.34,0.00,N/A
104.19.45.240,4,3,0.25,159.36,0.00,N/A
172.65.193.143,4,3,0.25,159.39,0.00,N/A
104.19.74.220,4,3,0.25,159.46,0.00,N/A
104.16.157.246,4,3,0.25,159.53,0.00,N/A
104.16.53.51,4,3,0.25,159.54,0.00,N/A
104.18.89.197,4,3,0.25,159.59,0.00,N/A
104.19.65.91,4,3,0.25,159.74,0.00,N/A
104.17.220.212,4,3,0.25,159.75,0.00,N/A
104.18.85.103,4,3,0.25,159.80,0.00,N/A
104.19.49.135,4,3,0.25,159.84,0.00,N/A
104.16.251.183,4,3,0.25,159.91,0.00,N/A
104.19.197.216,4,3,0.25,159.99,0.00,N/A
104.19.63.55,4,3,0.25,159.99,0.00,N/A
172.64.96.219,4,3,0.25,160.06,0.00,N/A
104.19.186.165,4,3,0.25,160.06,0.00,N/A
104.18.108.66,4,3,0.25,160.12,0.00,N/A
104.18.53.91,4,3,0.25,160.20,0.00,N/A
104.19.91.189,4,3,0.25,160.27,0.00,N/A
104.21.225.168,4,3,0.25,160.36,0.00,N/A
104.16.164.170,4,3,0.25,160.49,0.00,N/A
104.17.228.118,4,3,0.25,160.69,0.00,N/A
104.17.138.216,4,3,0.25,160.71,0.00,N/A
104.18.223.103,4,3,0.25,160.71,0.00,N/A
104.17.171.234,4,3,0.25,160.73,0.00,N/A
104.19.227.156,4,3,0.25,160.76,0.00,N/A
104.19.17.47,4,3,0.25,160.83,0.00,N/A
104.16.102.109,4,3,0.25,160.85,0.00,N/A
104.17.224.193,4,3,0.25,160.87,0.00,N/A
104.16.234.97,4,3,0.25,160.99,0.00,N/A
104.19.139.111,4,3,0.25,161.00,0.00,N/A
172.65.250.247,4,3,0.25,161.02,0.00,N/A
104.19.46.210,4,3,0.25,161.05,0.00,N/A
104.19.21.25,4,3,0.25,161.08,0.00,N/A
104.18.8.47,4,3,0.25,161.08,0.00,N/A
104.18.73.170,4,3,0.25,161.11,0.00,N/A
104.16.173.165,4,3,0.25,161.12,0.00,N/A
104.19.56.161,4,3,0.25,161.15,0.00,N/A
104.18.6.46,4,3,0.25,161.15,0.00,N/A
172.66.3.159,4,3,0.25,161.18,0.00,N/A
104.16.36.27,4,3,0.25,161.23,0.00,N/A
104.19.126.194,4,3,0.25,161.41,0.00,N/A
104.16.231.181,4,3,0.25,161.43,0.00,N/A
104.16.156.17,4,3,0.25,161.43,0.00,N/A
104.17.149.191,4,3,0.25,161.45,0.00,N/A
104.16.180.200,4,3,0.25,161.51,0.00,N/A
104.17.221.217,4,3,0.25,161.52,0.00,N/A
104.16.250.155,4,3,0.25,161.67,0.00,N/A
104.16.203.131,4,3,0.25,161.69,0.00,N/A
104.21.238.48,4,3,0.25,161.70,0.00,N/A
104.17.104.223,4,3,0.25,161.86,0.00,N/A
104.18.13.51,4,3,0.25,161.87,0.00,N/A
104.17.250.117,4,3,0.25,161.96,0.00,N/A
104.18.88.238,4,3,0.25,161.98,0.00,N/A
172.66.47.69,4,3,0.25,162.01,0.00,N/A
104.16.236.148,4,3,0.25,162.07,0.00,N/A
104.19.233.13,4,3,0.25,162.07,0.00,N/A
104.16.154.197,4,3,0.25,162.07,0.00,N/A
104.17.195.52,4,3,0.25,162.10,0.00,N/A
104.19.76.50,4,3,0.25,162.16,0.00,N/A
104.18.31.215,4,3,0.25,162.19,0.00,N/A
172.64.67.1,4,3,0.25,162.23,0.00,N/A
104.17.208.88,4,3,0.25,162.25,0.00,N/A
104.21.239.213,4,3,0.25,162.29,0.00,N/A
104.19.23.157,4,3,0.25,162.30,0.00,N/A
104.16.104.114,4,3,0.25,162.40,0.00,N/A
104.17.229.237,4,3,0.25,162.43,0.00,N/A
104.16.44.175,4,3,0.25,162.56,0.00,N/A
104.19.238.113,4,3,0.25,162.66,0.00,N/A
104.19.110.168,4,3,0.25,162.66,0.00,N/A
104.16.218.76,4,3,0.25,162.85,0.00,N/A
104.17.9.9,4,3,0.25,162.89,0.00,N/A
104.16.233.244,4,3,0.25,162.94,0.00,N/A
104.16.147.79,4,3,0.25,162.97,0.00,N/A
104.16.169.148,4,3,0.25,163.04,0.00,N/A
104.18.121.125,4,3,0.25,163.12,0.00,N/A
172.66.46.151,4,3,0.25,163.12,0.00,N/A
104.18.4.230,4,3,0.25,163.15,0.00,N/A
172.65.238.15,4,3,0.25,163.18,0.00,N/A
104.19.100.178,4,3,0.25,163.18,0.00,N/A
104.18.220.150,4,3,0.25,163.22,0.00,N/A
104.16.108.119,4,3,0.25,163.24,0.00,N/A
104.19.149.190,4,3,0.25,163.29,0.00,N/A
104.17.204.217,4,3,0.25,163.49,0.00,N/A
